file,species
c60e91e07.png,Loose Silky-bent
71f5323c5.png,Loose Silky-bent
b215531dd.png,Cleavers
f0ffa00bd.png,Sugar beet
2df78338c.png,Common Chickweed
bb20fce02.png,Scentless Mayweed
b29339405.png,Loose Silky-bent
b39c71707.png,Maize
664194d19.png,Small-flowered Cranesbill
2406d6c99.png,Shepherds Purse
16357b436.png,Loose Silky-bent
0d117d910.png,Common Chickweed
34dd57ca9.png,Loose Silky-bent
c5078bac5.png,Black-grass
6be169e41.png,Shepherds Purse
c7eb96871.png,Common wheat
a55d26a4c.png,Common Chickweed
77ccb8b2a.png,Small-flowered Cranesbill
f9f35cbd4.png,Common Chickweed
1f5e5554e.png,Small-flowered Cranesbill
071cb3ece.png,Sugar beet
2ff5cb348.png,Sugar beet
cfd8165e9.png,Charlock
5296835a0.png,Small-flowered Cranesbill
da4ed3a28.png,Charlock
79d93bc96.png,Loose Silky-bent
e80a259c5.png,Small-flowered Cranesbill
fda39e16f.png,Black-grass
632156793.png,Cleavers
6c874918c.png,Black-grass
2d9c798f9.png,Small-flowered Cranesbill
754b1adf8.png,Small-flowered Cranesbill
44e8b8833.png,Small-flowered Cranesbill
04814f36d.png,Scentless Mayweed
55920f07f.png,Maize
1f290e016.png,Scentless Mayweed
8e3ed0a25.png,Small-flowered Cranesbill
e1abb4ff9.png,Sugar beet
abf8b0772.png,Scentless Mayweed
3a909ead8.png,Small-flowered Cranesbill
486e59179.png,Common Chickweed
24c94a6ca.png,Sugar beet
d668409ff.png,Black-grass
ce42adffb.png,Loose Silky-bent
3efa1f66c.png,Loose Silky-bent
0ebf8f2f4.png,Maize
a060c1cf8.png,Maize
f1e87cba7.png,Loose Silky-bent
cf46d09c5.png,Common Chickweed
f85ed9b6d.png,Shepherds Purse
a3d0031fd.png,Loose Silky-bent
fba8fc78a.png,Loose Silky-bent
adb7a032c.png,Loose Silky-bent
00ef713a8.png,Common Chickweed
338c7e907.png,Charlock
2d5058a59.png,Common Chickweed
b30ab4659.png,Cleavers
d2f0f326e.png,Loose Silky-bent
64fe8beb9.png,Scentless Mayweed
2d992d1fb.png,Loose Silky-bent
a19c3faca.png,Cleavers
1be0713da.png,Cleavers
7506c0c02.png,Scentless Mayweed
16fd2e01a.png,Small-flowered Cranesbill
88ac6df54.png,Loose Silky-bent
7d3045fc3.png,Sugar beet
4287d810c.png,Common Chickweed
78750e0ff.png,Charlock
33448fe39.png,Loose Silky-bent
36d62bf36.png,Common wheat
31f3dd81f.png,Loose Silky-bent
37714071b.png,Shepherds Purse
e5064f6be.png,Sugar beet
0ad9e7dfb.png,Sugar beet
9cce7328c.png,Loose Silky-bent
8585f9718.png,Common wheat
728eabae1.png,Charlock
892e9d6c6.png,Scentless Mayweed
efe19dc32.png,Charlock
93d76fd5d.png,Small-flowered Cranesbill
c0bc3997b.png,Scentless Mayweed
a1da8be3c.png,Maize
bb1c84bbc.png,Loose Silky-bent
855955aaf.png,Small-flowered Cranesbill
